Unidade Consumidora;08/2024;01/2025;02/2025;03/2025;04/2025;05/2025;06/2025;07/2025;08/2025;09/2025;11/2025;12/2025
3314094;;;;;;;;;;;;
3315598;;;;;;;;;;;;
3315670;;;;;;;;;;;;
3315672;;;;;;;;;;;;
3315727;;;;;;;;;;;;
3315728;;;;;;;;;;;;
3315729;;;;;;;;;;;;
3315786;;;;;;;;;;;;
3315795;;;;;;;;;;;;
3315835;;;;;;;;;;;;
3315965;;;;;;;;;;;;
3316090;;;;;;;;;;;;
3316232;;;;;;;;;;;;
3316233;;;;;;;;;;;;
3316362;;;;;;;;;;;;
3316376;;;;;;;;;;;;
3316503;;;;;;;;;;;;
3316504;;;;;;;;;;;;
3316517;;;;;;;;;;;;
3316724;;;;;;;;;;;;
3316726;;;;;;;;;;;;
3316831;;;;;;;;;;;;
3317459;;;;;;;;;;;;
3317594;;;;;;;;;;;;
3317741;;;;;;;;;;;;
3317746;;;;;;;;;;;;
3317749;;;;;;;;;;;;
3317750;;;;;;;;;;;;
3317752;;;;;;;;;;;;
3317753;;;;;;;;;;;;
3317754;;;;;;;;;;;;
3317756;;;;;;;;;;;;
3317759;;;;;;;;;;;;
3317762;;;;;;;;;;;;
3317798;;;;;;;;;;;;
3317799;;;;;;;;;;;;
3317848;;;;;;;;;;;;
3318220;;;;;;;;;;;;
3318674;;;;;;;;;;;;
3318688;;;;;;;;;;;;
3318701;;;;;;;;;;;;
3319394;;;;;;;;;;;;
3319409;;;;;;;;;;;;
3319603;;;;;;;;;;;;
3319605;;;;;;;;;;;;
3319606;;;;;;;;;;;;
3319609;;;;;;;;;;;;
3319642;;;;;;;;;;;;
3319708;;;;;;;;;;;;
3319729;;;;;;;;;;;;
3320737;;;;;;;;;;;;
3321145;;;;;;;;;;;;
3321817;;;;;;;;;;;;
3322177;;;;;;;;;;;;
3322370;;;;;;;;;;;;
3323341;;;;;;;;;;;;
3323555;;;;;;;;;;;;
3323556;;;;;;;;;;;;
3326967;;;;;;;;;;;;
3327728;;;;;;;;;;;;
3327949;;;;;;;;;;;;
3327950;;;;;;;;;;;;
3328102;;;;;;;;;;;;
3328120;;;;;;;;;;;;
3328121;;;;;;;;;;;;
3328588;;;;;;;;;;;;
3328612;;;;;;;;;;;;
3328642;;;;;;;;;;;;
3328844;;;;;;;;;;;;
3328845;;;;;;;;;;;;
3328957;;;;;;;;;;;;
3329985;;;;;;;;;;;;
3330001;;;;;;;;;;;;
3330120;;;;;;;;;;;;
3330325;;;;;;;;;;;;
3330402;;;;;;;;;;;;
3330651;;;;;;;;;;;;
3330717;;;;;;;;;;;;
3330759;;;;;;;;;;;;
3331214;;;;;;;;;;;;
3331215;;;;;;;;;;;;
3331248;;;;;;;;;;;;
3331249;;;;;;;;;;;;
3331253;;;;;;;;;;;;
3331266;;;;;;;;;;;;
3331529;;;;;;;;;;;;
3331644;;;;;;;;;;;;
3331903;;;;;;;;;;;;
3332090;;;;;;;;;;;;
3332145;;;;;;;;;;;;
3332176;;;;;;;;;;;;
3332312;;;;;;;;;;;;
3332350;;;;;;;;;;;;
3332352;;;;;;;;;;;;
3332353;;;;;;;;;;;;
3332495;;;;;;;;;;;;
3332699;;;;;;;;;;;;
4129361;;;;;;;;;;;;
5402028;;;;;;;;;;;;
5604226;;;;;;;;;;;;
5722780;;;;;;;;;;;;
6055918;;;;;;;;;;;;
6056801;;;;;;;;;;;;
6056848;;;;;;;;;;;;
6060423;;;;;;;;;;;;
6636462;;;;;;;;;;;;
6819353;;;;;;;;;;;;
6819377;;;;;;;;;;;;
6819381;;;;;;;;;;;;
6819408;;;;;;;;;;;;
6819418;;;;;;;;;;;;
6941663;;;;;;;;;;;;
7133320;;;;;;;;;;;;
7133341;;;;;;;;;;;;
7133382;;;;;;;;;;;;
7133593;;;;;;;;;;;;
8056418;;;;;;;;;;;;
8056421;;;;;;;;;;;;
8132662;;;;;;;;;;;;
9057068;;;;;;;;;;;;
9061471;;;;;;;;;;;;
9116003;;;;;;;;;;;;
9133801;;;;;;;;;;;;
9165621;;;;;;;;;;;;
9170342;;;;;;;;;;;;
994528;;;;;;;;;;;;
